,Unnamed: 0,X,Y,ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME,Surface Cond Desc,Atmosph Cond Desc,no_male_driver,no_female_driver,avg_age_male,avg_age_female,year
541,541,145.09143847997453,-37.10450027942467,T20150014077,2015-07-04,12,No,Collision with vehicle,Saturday,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),No,Day,Not at intersection,Fatal accident,110,No,Non-Intersection,MITCHELL,NORTHERN REGION,2,2,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,No,0,2,0,0,2,0,Freeway,Freeway,Divided,Div,Country,Dry,Clear,2,0,46.5,,2015
542,542,149.53433166064949,-37.503881567198405,T20150014842,2015-07-16,16,No,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Not at intersection,Fatal accident,100,Yes,Non-Intersection,EAST GIPPSLAND,EASTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Wet,Raining,1,0,74.0,,2015
543,543,145.7320490192366,-37.20782971641479,T20150014094,2015-07-05,1,Yes,Collision with a fixed object,Sunday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,MURRINDINDI,NORTH EASTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,1,0,37.0,,2015
544,544,143.87114982571708,-37.5501595518529,T20150013744,2015-06-30,0,Yes,Struck Pedestrian,Tuesday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,No,Dark Street lights on,Not at intersection,Fatal accident,60,No,Non-Intersection,BALLARAT,WESTERN REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,33.0,,2015
545,545,142.0109598416629,-36.69842999347063,T20150014547,2015-07-11,21,Yes,Collision with a fixed object,Saturday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,HORSHAM,WESTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Wet,Clear,1,0,51.0,,2015
546,546,145.4762989674837,-37.92184296189021,T20150013806,2015-06-30,17,No,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,50,Yes,Non-Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,4,4,3,1,0,0,2,2,0,3,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,18.0,,2015
547,547,145.4762989674837,-37.92184296189021,T20150013806,2015-06-30,17,No,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,50,Yes,Non-Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,4,4,3,1,0,0,2,2,0,3,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,18.0,,2015
548,548,145.4762989674837,-37.92184296189021,T20150013806,2015-06-30,17,No,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,50,Yes,Non-Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,4,4,3,1,0,0,2,2,0,3,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,18.0,,2015
549,549,144.93445495491875,-37.803881977981696,T20160004157,2016-02-24,16,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Day,Not at intersection,Fatal accident,50,No,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Freeway,Freeway,Undivided,Undiv,Metro,Dry,Clear,2,0,46.0,,2016
550,550,145.70640230102762,-38.32362063842121,T20160003826,2016-02-20,21,Yes,Collision with a fixed object,Saturday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,SOUTH GIPPSLAND,EASTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,53.0,,2016
551,551,145.1845694641787,-38.15419922912192,T20160003470,2016-02-16,8,No,Struck Pedestrian,Tuesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,T intersection,Fatal accident,50,No,Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,No,0,1,1,0,0,0,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro,Dry,Clear,0,0,,,2016
552,552,143.89422698701264,-37.083699641868975,T20160003874,2016-02-21,16,Yes,Collision with vehicle,Sunday,PULLING OUT (OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,CENTRAL GOLDFIELDS,WESTERN REGION,2,1,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,No,0,2,0,0,2,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,2,0,59.0,,2016
553,553,146.21321790653215,-36.93336124103785,T20160004227,2016-02-25,12,No,Collision with a fixed object,Thursday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,MANSFIELD,NORTH EASTERN REGION,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,0,75.0,,2016
554,554,145.9073825937863,-37.61440017376286,T20160003886,2016-02-21,12,No,Collision with vehicle,Sunday,HEAD ON(OVERTAKING),No,Day,Not at intersection,Fatal accident,80,No,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,8,1,1,0,0,7,5,3,0,5,2,0,0,1,0,0,0,0,0,0,No,0,3,0,2,1,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,3,0,37.333333333333336,,2016
555,555,144.77083070580122,-37.759356026017436,T20160003153,2016-02-12,10,No,Struck Pedestrian,Friday,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,No,Day,Not at intersection,Fatal accident,50,No,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,0,1,,55.0,2016
556,556,145.24111616206218,-36.46036081208484,T20160003154,2016-02-12,14,No,Collision with a fixed object,Friday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,SHEPPARTON,NORTH EASTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,81.0,,2016
557,557,145.19816978050008,-37.991019106681755,T20160004260,2016-02-25,20,Yes,Collision with a fixed object,Thursday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Not at intersection,Fatal accident,60,Yes,Non-Intersection,DANDENONG,METROPOLITAN SOUTH EAST REGION,3,3,1,2,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Arterial Highway,Arterial Highway,Divided,Div,Metro,Dry,Clear,0,1,,18.0,2016
558,558,145.23308999626713,-36.05329804787497,T20160004266,2016-02-26,0,Yes,Collision with a fixed object,Friday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,MOIRA,NORTH EASTERN REGION,2,2,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,18.0,,2016
559,559,144.99729929627554,-37.81022425243664,T20160003197,2016-02-12,22,Yes,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,Yes,Dark Street lights on,Not at intersection,Fatal accident,60,No,Non-Intersection,YARRA,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,Yes,0,1,0,0,1,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,1,0,33.0,,2016
560,560,147.42661066913442,-37.86236009740635,T20160003982,2016-02-22,17,No,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,EAST GIPPSLAND,EASTERN REGION,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,0,1,,28.0,2016
561,561,146.31240115546532,-38.44023933526857,T20160004352,2016-02-26,23,Yes,Vehicle overturned (no collision),Friday,OFF CARRIAGEWAY ON RIGHT BEND,No,Dark No street lights,Not at intersection,Fatal accident,Not known,Yes,Non-Intersection,LATROBE,EASTERN REGION,4,4,1,1,2,0,3,1,0,3,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,18.0,,2016
562,562,144.86949033158947,-38.39784172685953,T20160003269,2016-02-13,23,Yes,Struck Pedestrian,Saturday,PED WALKING WITH TRAFFIC,No,Dark No street lights,Not at intersection,Fatal accident,100,No,Non-Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,3,1,1,0,0,2,1,2,0,1,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,61.0,,2016
563,563,144.98974029842168,-37.77651901189781,T20160004428,2016-02-27,21,Yes,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Multiple intersection,Fatal accident,60,No,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,No,0,1,0,1,0,0,Arterial Highway,"Arterial Highway,Local Road,Arterial Other",Divided,"Div,Undiv",Metro,Dry,Clear,1,0,26.0,,2016
564,564,145.13470773937962,-37.73530972202038,T20160004434,2016-02-27,23,Yes,Collision with a fixed object,Saturday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Not at intersection,Fatal accident,80,Yes,Non-Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,3,1,1,0,0,2,2,1,0,0,2,0,0,1,0,0,0,0,0,0,No,0,3,0,2,1,0,Arterial Other,Arterial Other,Divided,Div,Metro,Dry,Clear,2,1,45.5,49.0,2016
565,565,144.79471170416173,-37.70017503043679,T20160003678,2016-02-18,20,Yes,Collision with a fixed object,Thursday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Not at intersection,Fatal accident,80,Yes,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Divided,Div,Metro,Dry,Clear,1,0,18.0,,2016
566,566,145.01985894345836,-37.72749897626685,T20160003351,2016-02-15,5,Yes,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights unknown,Not at intersection,Fatal accident,60,No,Non-Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,0,1,,32.0,2016
567,567,145.83782050834546,-38.11717739994457,T20160004092,2016-02-23,6,No,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Dusk/Dawn,Not at intersection,Fatal accident,80,No,Non-Intersection,BAW BAW,EASTERN REGION,2,2,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,No,1,2,0,1,1,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,2,0,50.0,,2016
568,568,145.13988895017116,-38.10872974351223,T20160004106,2016-02-24,9,No,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Day,Multiple intersection,Fatal accident,60,No,Non-Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,3,3,1,0,2,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Freeway,Freeway,Undivided,Undiv,Metro,Dry,Clear,1,1,39.0,64.0,2016
569,569,145.5903690058929,-38.06823326701584,T20160003012,2016-02-10,23,Yes,Collision with vehicle,Wednesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dark No street lights,T intersection,Fatal accident,100,No,Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,5,2,1,0,1,3,5,0,0,2,2,0,0,1,0,0,0,0,0,0,No,0,3,0,2,1,0,Freeway,"Freeway,Local Road",Divided,"Div,Undiv",Metro,Dry,Clear,3,0,40.0,,2016
570,570,144.8392870580344,-37.74631624366342,T20160001847,2016-01-27,1,Yes,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Yes,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,3,2,2,0,0,1,2,1,0,1,2,0,0,0,0,0,0,0,0,2,No,0,2,0,2,0,0,Freeway,Freeway,Divided,Div,Metro,Dry,Clear,2,0,20.0,,2016
571,571,144.8392870580344,-37.74631624366342,T20160001847,2016-01-27,1,Yes,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Yes,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,3,2,2,0,0,1,2,1,0,1,2,0,0,0,0,0,0,0,0,2,No,0,2,0,2,0,0,Freeway,Freeway,Divided,Div,Metro,Dry,Clear,2,0,20.0,,2016
572,572,144.7963857220108,-37.743828535552616,T20160001863,2016-01-27,12,No,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Day,Cross intersection,Fatal accident,60,No,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,No,1,2,0,1,1,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,Dry,Clear,2,0,52.5,,2016
573,573,143.18404952499736,-38.61007849787784,T20160001900,2016-01-27,13,No,Collision with vehicle,Wednesday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,CORANGAMITE,SOUTH WESTERN REGION,3,3,2,0,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,2,0,49.0,,2016
574,574,143.18404952499736,-38.61007849787784,T20160001900,2016-01-27,13,No,Collision with vehicle,Wednesday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,CORANGAMITE,SOUTH WESTERN REGION,3,3,2,0,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,2,0,49.0,,2016
575,575,145.28978027858997,-37.85213524962424,T20160002327,2016-02-02,15,No,Collision with vehicle,Tuesday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Day,Not at intersection,Fatal accident,50,No,Non-Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,1,18.0,51.0,2016
576,576,144.69397785294566,-37.887637068926786,T20160002332,2016-02-02,15,No,Collision with vehicle,Tuesday,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148,No,Day,Not at intersection,Fatal accident,80,No,Non-Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,4,2,1,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Arterial Other,Arterial Other,Divided,Div,Metro,Dry,Clear,2,0,65.0,,2016
577,577,142.3624664331924,-34.48259036018067,T20160002719,2016-02-06,3,Yes,Collision with a fixed object,Saturday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,MILDURA,WESTERN REGION,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,0,38.0,,2016
578,578,145.16150940440482,-37.92509317163875,T20160004844,2016-03-03,15,No,Struck Pedestrian,Thursday,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,No,Day,Not at intersection,Fatal accident,Camping grounds or off road,No,Non-Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,53.0,,2016
579,579,146.4447572510943,-36.22068893562817,T20160006056,2016-03-18,13,No,Collision with a fixed object,Friday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,110,Yes,Non-Intersection,WANGARATTA,NORTH EASTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Wet,Raining,1,0,83.0,,2016
580,580,146.406184032751,-38.17293053041085,T20160004864,2016-03-03,16,No,Collision with vehicle,Thursday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,LATROBE,EASTERN REGION,2,2,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,1,62.0,63.0,2016
581,581,146.406184032751,-38.17293053041085,T20160004864,2016-03-03,16,No,Collision with vehicle,Thursday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,LATROBE,EASTERN REGION,2,2,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,1,62.0,63.0,2016
582,582,145.2227487877056,-36.46499000382308,T20160004868,2016-03-03,17,No,Collision with vehicle,Thursday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,SHEPPARTON,NORTH EASTERN REGION,7,6,1,5,0,1,6,0,0,4,3,0,0,0,0,0,0,0,0,0,No,0,3,0,3,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,2,0,43.0,,2016
583,583,146.277378494583,-36.40760796052377,T20160005221,2016-03-08,14,No,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,110,Yes,Non-Intersection,WANGARATTA,NORTH EASTERN REGION,2,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,Freeway,Freeway,Divided,Div,Country,Dry,Clear,1,0,77.0,,2016
584,584,144.9346183115333,-38.351208362604545,T20160005243,2016-03-08,17,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Freeway,Freeway,Divided,Div,Metro,Dry,Clear,1,0,20.0,,2016
585,585,145.19159896047458,-38.245460212363355,T20160005245,2016-03-08,20,Yes,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Dark No street lights,Not at intersection,Fatal accident,80,No,Non-Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,2,2,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,2,0,31.0,,2016
586,586,146.475663856661,-38.218029935612606,T20160005706,2016-03-14,10,No,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Day,T intersection,Fatal accident,80,No,Intersection,LATROBE,EASTERN REGION,3,1,1,0,0,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Country,Dry,Clear,2,0,63.5,,2016
587,587,144.29694222515135,-36.930198011006865,T20160005711,2016-03-14,11,No,Collision with a fixed object,Monday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,T intersection,Fatal accident,100,Yes,Intersection,BENDIGO,NORTHERN REGION,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,66.0,,2016
588,588,145.17059523308828,-37.62104871630735,T20160010029,2016-05-07,16,Yes,Collision with a fixed object,Saturday,OUT OF CONTROL (OVERTAKING),No,Day,Not at intersection,Fatal accident,80,Yes,Non-Intersection,NILLUMBIK,METROPOLITAN NORTH WEST REGION,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,47.0,,2016
589,589,144.80652063038875,-37.82984533574608,T20160010832,2016-05-17,8,No,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,60,No,Non-Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,2,0,38.5,,2016
590,590,144.99873062264854,-37.93819976500097,T20160009682,2016-05-03,19,Yes,Collision with vehicle,Tuesday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Dark Street lights on,Not at intersection,Fatal accident,60,No,Non-Intersection,BAYSIDE,METROPOLITAN SOUTH EAST REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,1,2,0,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Wet,Clear,1,0,40.0,,2016
591,591,144.99873062264854,-37.93819976500097,T20160009682,2016-05-03,19,Yes,Collision with vehicle,Tuesday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Dark Street lights on,Not at intersection,Fatal accident,60,No,Non-Intersection,BAYSIDE,METROPOLITAN SOUTH EAST REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,1,2,0,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Wet,Strong winds,1,0,40.0,,2016
592,592,145.48663795975642,-38.11918151272769,T20160010500,2016-05-13,7,No,Collision with vehicle,Friday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,90,No,Non-Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,3,3,1,0,2,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,2,0,32.0,,2016
593,593,145.23957934456473,-37.898037373844254,T20160010881,2016-05-18,6,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Not at intersection,Fatal accident,80,No,Non-Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,3,1,1,0,0,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Arterial Other,Arterial Other,Divided,Div,Metro,Dry,Clear,2,0,31.0,,2016
594,594,143.8626204069275,-37.541867794678815,T20160009720,2016-05-04,11,No,Collision with vehicle,Wednesday,U TURN,No,Day,Not at intersection,Fatal accident,60,No,Non-Intersection,BALLARAT,WESTERN REGION,2,1,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,0,2,,75.5,2016
595,595,145.04848339009914,-37.241313320543696,T20160010149,2016-05-09,8,No,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,T intersection,Fatal accident,100,Yes,Intersection,MITCHELL,NORTHERN REGION,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Wet,Not known,0,1,,19.0,2016
