,OBJECTID,ACCIDENT_NO,ACCIDENT_DATE,FD_FIRST_DATE_OF_YEAR,FD_YESTERDAY_DATE_OF_YEAR,INCLUDE_IN_EQUIVALENT_PERIOD,ACCIDENT_TIME,NODE_ID,PERSON_ID,SEX,AGE,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,NO_OF_VEHICLES,LGA_NAME,STAT_DIV_NAME,NODE_TYPE,NODE_TYPE_DESC,ROAD_NUM,ROAD_TYPE,X,Y,LOCATION_COUNT,yr
732,1995942,T20160008128,2016-04-14T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,24100,230068,A,F,28,2,Drivers,4,Collision with a fixed object,1,WHITTLESEA,Melbourne - North East,N,Non Intersection,2550,Declared Road,,,1,2016
733,1995943,T20160008280,2016-04-15T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,201000,302299,A,M,23,2,Drivers,4,Collision with a fixed object,1,YARRIAMBIACK,Country,N,Non Intersection,2620,Declared Road,,,1,2016
735,1995945,T20180023110,2018-12-09T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,43000,340048,A,M,20,2,Drivers,1,Collision with vehicle,2,GLENELG,Country,N,Non Intersection,2500,Declared Road,,,1,2018
736,1995946,T20160020268,2016-09-16T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,232700,308465,A,M,42,4,Motorcyclists,1,Collision with vehicle,2,MAROONDAH,Melbourne - Outer East,N,Non Intersection,9999,Non Declared Road,,,1,2016
738,1995948,T20170015514,2017-08-11T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,53000,322054,B,M,39,2,Drivers,1,Collision with vehicle,2,KINGSTON,Melbourne - Inner South,N,Non Intersection,9999,Non Declared Road,,,1,2017
739,1995949,T20160009058,2016-04-26T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,65000,302680,A,M,53,2,Drivers,1,Collision with vehicle,2,WHITTLESEA,Melbourne - North East,N,Non Intersection,5000,Declared Road,,,1,2016
740,1995950,T20160009375,2016-04-29T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,163000,303094,A,F,35,2,Drivers,1,Collision with vehicle,2,MITCHELL,Country,N,Non Intersection,5393,Declared Road,,,1,2016
741,1995951,T20170016029,2017-08-18T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,155000,320512,A,M,43,4,Motorcyclists,7,Fall from or in moving vehicle,1,MARIBYRNONG,Melbourne - West,N,Non Intersection,5520,Declared Road,,,1,2017
742,1995952,T20150020331,2015-10-01T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,153600,294520,A,M,52,2,Drivers,1,Collision with vehicle,2,BOROONDARA,Melbourne - Inner East,N,Non Intersection,5259,Declared Road,,,1,2015
743,1995953,T20180018268,2018-09-28T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,13100,337069,A,M,31,2,Drivers,4,Collision with a fixed object,1,WELLINGTON,Country,N,Non Intersection,9999,Non Declared Road,,,1,2018
746,1995956,T20160010764,2016-05-16T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,140300,303497,A,M,54,4,Motorcyclists,8,No collision and no object struck,1,MORNINGTON PENINSULA,Metro,N,Non Intersection,9999,Non Declared Road,,,1,2016
747,1995957,T20160010832,2016-05-17T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,84900,303496,B,M,38,2,Drivers,1,Collision with vehicle,2,WYNDHAM,Melbourne - West,N,Non Intersection,5449,Declared Road,,,1,2016
748,1995958,T20170019252,2017-10-09T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,230000,29653,B,F,53,2,Drivers,1,Collision with vehicle,2,MONASH,Melbourne - Inner South,I,Intersection,2070,Declared Road,,,1,2017
749,1995959,T20160011104,2016-05-20T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,181500,303688,A,M,53,2,Drivers,1,Collision with vehicle,2,WHITTLESEA,Melbourne - North East,N,Non Intersection,5515,Declared Road,,,1,2016
750,1995960,T20160011316,2016-05-22T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,204500,303820,A,M,46,2,Drivers,5,Collision with some other object,1,WARRNAMBOOL,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
752,1995962,T20160011355,2016-05-23T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,202900,303738,A,M,32,4,Motorcyclists,1,Collision with vehicle,2,WYNDHAM,Melbourne - West,I,Intersection,9999,Non Declared Road,,,1,2016
754,1995964,T20150013568,2015-06-26T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,214500,35533,B,M,55,4,Motorcyclists,1,Collision with vehicle,2,KNOX,Melbourne - Outer East,I,Intersection,5422,Declared Road,,,1,2015
756,1995966,T20160011603,2016-05-26T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,222000,308201,A,M,39,2,Drivers,4,Collision with a fixed object,1,GLENELG,Country,N,Non Intersection,5045,Declared Road,,,1,2016
757,1995967,T20180004564,2018-03-09T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,130500,327912,A,M,60,4,Motorcyclists,4,Collision with a fixed object,1,WANGARATTA,Country,N,Non Intersection,5498,Declared Road,,,1,2018
758,1995968,T20150013823,2015-07-01T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,30500,41584,A,M,39,4,Motorcyclists,1,Collision with vehicle,3,MONASH,Melbourne - South East,I,Intersection,2510,Declared Road,,,1,2015
759,1995969,T20160013560,2016-06-20T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,161500,304984,A,M,86,2,Drivers,1,Collision with vehicle,2,WYNDHAM,Melbourne - West,N,Non Intersection,5588,Declared Road,,,1,2016
766,1995976,T20180001727,2018-01-28T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,93000,326464,A,M,55,4,Motorcyclists,4,Collision with a fixed object,1,(MOUNT BULLER),Country,N,Non Intersection,4951,Declared Road,,,1,2018
767,1995977,T20160010149,2016-05-09T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,81000,303184,A,F,19,2,Drivers,4,Collision with a fixed object,1,MITCHELL,Country,I,Intersection,9999,Non Declared Road,,,1,2016
769,1995979,T20160020131,2016-09-14T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,155600,308368,A,F,71,2,Drivers,1,Collision with vehicle,2,BOROONDARA,Melbourne - Inner East,N,Non Intersection,9999,Non Declared Road,,,2,2016
771,1995981,T20170007028,2017-04-07T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,140000,316010,A,M,26,2,Drivers,1,Collision with vehicle,2,BULOKE,Country,N,Non Intersection,2530,Declared Road,,,1,2017
772,1995982,T20160018085,2016-08-18T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,82600,50579,B,M,50,2,Drivers,1,Collision with vehicle,2,COLAC OTWAY,Country,I,Intersection,9999,Non Declared Road,,,1,2016
773,1995983,T20160009390,2016-04-30T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,5100,302848,A,F,33,2,Drivers,1,Collision with vehicle,2,CASEY,Melbourne - South East,N,Non Intersection,5903,Declared Road,,,1,2016
774,1995984,T20160005559,2016-03-12T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,100500,300785,A,M,44,4,Motorcyclists,4,Collision with a fixed object,1,WHITTLESEA,Melbourne - North East,N,Non Intersection,9999,Non Declared Road,,,1,2016
775,1995985,T20150023180,2015-11-09T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,74200,296032,C,F,47,2,Drivers,1,Collision with vehicle,3,KINGSTON,Melbourne - Inner South,N,Non Intersection,9999,Non Declared Road,,,1,2015
778,1995988,T20160006056,2016-03-18T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,130900,301072,A,M,83,2,Drivers,4,Collision with a fixed object,1,WANGARATTA,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
779,1995989,T20160006133,2016-03-19T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,40000,301073,A,M,23,2,Drivers,4,Collision with a fixed object,1,MORNINGTON PENINSULA,Metro,N,Non Intersection,9999,Non Declared Road,,,1,2016
781,1995991,T20160004260,2016-02-25T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,205300,196475,A,F,18,2,Drivers,4,Collision with a fixed object,1,DANDENONG,Melbourne - South East,N,Non Intersection,2050,Declared Road,,,1,2016
783,1995993,T20160004352,2016-02-26T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,230000,300185,A,M,18,2,Drivers,6,Vehicle overturned (no collision),1,LATROBE,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
784,1995994,T20160004434,2016-02-27T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,231500,300136,A,M,43,4,Motorcyclists,4,Collision with a fixed object,2,BANYULE,Melbourne - North East,N,Non Intersection,5901,Declared Road,,,1,2016
785,1995995,T20160015002,2016-07-10T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,4000,305632,A,M,59,2,Drivers,4,Collision with a fixed object,1,BENDIGO,Bendigo,N,Non Intersection,2540,Declared Road,,,1,2016
786,1995996,T20150019033,2015-09-13T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,85200,293873,A,M,32,4,Motorcyclists,4,Collision with a fixed object,1,WHITEHORSE,Melbourne - Inner East,N,Non Intersection,2750,Declared Road,,,1,2015
787,1995997,T20160004864,2016-03-03T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,161500,300377,A,F,63,2,Drivers,1,Collision with vehicle,2,LATROBE,Country,N,Non Intersection,5911,Declared Road,,,2,2016
788,1995998,T20160004864,2016-03-03T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,161500,300377,B,M,62,2,Drivers,1,Collision with vehicle,2,LATROBE,Country,N,Non Intersection,5911,Declared Road,,,2,2016
790,1996000,T20160015290,2016-07-13T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,234500,305791,A,F,39,2,Drivers,1,Collision with vehicle,2,SHEPPARTON,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
791,1996001,T20170007992,2017-04-21T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,134500,316508,A,M,68,2,Drivers,1,Collision with vehicle,3,BENDIGO,Bendigo,N,Non Intersection,2590,Declared Road,,,1,2017
792,1996002,T20160015538,2016-07-16T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,201500,305896,A,M,29,2,Drivers,1,Collision with vehicle,3,BAW BAW,Country,N,Non Intersection,2510,Declared Road,,,1,2016
794,1996004,T20160011438,2016-05-24T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,201500,303785,A,M,19,2,Drivers,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,5775,Declared Road,,,2,2016
795,1996005,T20160015791,2016-07-19T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,231500,305992,A,M,31,2,Drivers,4,Collision with a fixed object,1,GEELONG,Country,I,Intersection,2730,Declared Road,,,1,2016
796,1996006,T20160015823,2016-07-20T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,70000,306069,A,M,21,2,Drivers,3,Struck animal,1,MACEDON RANGES,Country,I,Intersection,9999,Non Declared Road,,,1,2016
797,1996007,T20140011125,2014-05-29T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,142500,53481,B,M,38,2,Drivers,1,Collision with vehicle,2,WELLINGTON,Country,I,Intersection,9999,Non Declared Road,,,1,2014
798,1996008,T20160016138,2016-07-23T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,211000,306568,A,F,46,2,Drivers,4,Collision with a fixed object,1,MITCHELL,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
802,1996012,T20180008548,2018-05-05T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,180500,52637,B,F,75,2,Drivers,1,Collision with vehicle,2,NORTHERN GRAMPIANS,Ballarat,I,Intersection,5245,Declared Road,,,4,2018
803,1996013,T20160016195,2016-07-25T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,41000,296719,B,M,67,2,Drivers,1,Collision with vehicle,2,SHEPPARTON,Country,I,Intersection,5373,Declared Road,,,1,2016
804,1996014,T20160016263,2016-07-25T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,185700,306256,A,M,36,2,Drivers,4,Collision with a fixed object,1,CASEY,Melbourne - South East,N,Non Intersection,2510,Declared Road,,,1,2016
806,1996016,T20150013452,2015-06-25T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,63000,290872,A,M,22,2,Drivers,4,Collision with a fixed object,1,WELLINGTON,Country,N,Non Intersection,9999,Non Declared Road,,,1,2015
807,1996017,T20160016565,2016-07-29T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,155500,306538,A,F,74,2,Drivers,4,Collision with a fixed object,1,LODDON,Bendigo,N,Non Intersection,2530,Declared Road,,,1,2016
809,1996019,T20160017537,2016-08-10T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,180000,29952,A,M,87,2,Drivers,1,Collision with vehicle,2,GEELONG,Country,I,Intersection,9999,Non Declared Road,,,1,2016
810,1996020,T20150002652,2015-02-06T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,140000,286336,A,M,53,2,Drivers,4,Collision with a fixed object,1,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,5776,Declared Road,,,1,2015
812,1996022,T20160017740,2016-08-13T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,133500,307096,A,M,52,2,Drivers,4,Collision with a fixed object,1,SOUTHERN GRAMPIANS,Country,N,Non Intersection,5140,Declared Road,,,1,2016
813,1996023,T20180005238,2018-03-19T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,142900,328240,B,M,32,4,Motorcyclists,1,Collision with vehicle,1,MELTON,Melbourne - West,N,Non Intersection,7351,Declared Road,,,1,2018
815,1996025,T20180008538,2018-05-05T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,140300,29488,B,M,58,4,Motorcyclists,1,Collision with vehicle,2,DAREBIN,Melbourne - Inner,I,Intersection,9999,Non Declared Road,,,1,2018
816,1996026,T20160018120,2016-08-18T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,134000,307264,A,F,63,2,Drivers,1,Collision with vehicle,2,NORTHERN GRAMPIANS,Country,N,Non Intersection,2110,Declared Road,,,1,2016
819,1996029,T20160018352,2016-08-22T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,62000,307408,A,M,28,2,Drivers,1,Collision with vehicle,2,EAST GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
820,1996030,T20150014094,2015-07-05T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,14000,291232,A,M,37,2,Drivers,4,Collision with a fixed object,1,MURRINDINDI,Country,N,Non Intersection,2640,Declared Road,,,1,2015
822,1996032,T20180010671,2018-06-06T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,115000,331736,A,M,29,2,Drivers,4,Collision with a fixed object,2,SHEPPARTON,Country,N,Non Intersection,5586,Declared Road,,,1,2018
823,1996033,T20160018714,2016-08-26T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,143400,307529,A,F,77,2,Drivers,1,Collision with vehicle,2,CASEY,Melbourne - South East,N,Non Intersection,5970,Declared Road,,,1,2016
824,1996034,T20160018725,2016-08-26T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,161000,308842,A,F,22,2,Drivers,4,Collision with a fixed object,1,SWAN HILL,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
825,1996035,T20160018599,2016-08-25T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,102200,53372,A,M,24,2,Drivers,1,Collision with vehicle,2,MOIRA,Country,I,Intersection,2570,Declared Road,,,1,2016
826,1996036,T20160002812,2016-02-08T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,171000,52388,A,M,44,4,Motorcyclists,1,Collision with vehicle,2,BAW BAW,Country,I,Intersection,9999,Non Declared Road,,,1,2016
827,1996037,T20160016737,2016-07-31T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,182200,306520,A,F,58,2,Drivers,1,Collision with vehicle,2,MOYNE,Country,N,Non Intersection,2780,Declared Road,,,1,2016
829,1996039,T20160016815,2016-08-01T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,150000,307974,B,M,85,2,Drivers,4,Collision with a fixed object,2,GEELONG,Country,N,Non Intersection,5896,Declared Road,,,1,2016
831,1996041,T20170024931,2017-12-30T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,130000,325408,A,M,23,2,Drivers,4,Collision with a fixed object,1,LODDON,Bendigo,N,Non Intersection,9999,Non Declared Road,,,1,2017
832,1996042,T20160014659,2016-07-05T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,180600,305440,A,M,37,2,Drivers,1,Collision with vehicle,2,MURRINDINDI,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
833,1996043,T20180008549,2018-05-05T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,223000,331679,A,M,34,2,Drivers,4,Collision with a fixed object,1,ALPINE,Country,N,Non Intersection,4005,Declared Road,,,1,2018
834,1996044,T20170018400,2017-09-25T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,175000,322128,A,M,44,2,Drivers,1,Collision with vehicle,2,COLAC OTWAY,Country,N,Non Intersection,2780,Declared Road,,,1,2017
836,1996046,T20160018506,2016-08-24T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,123500,307698,A,M,87,2,Drivers,4,Collision with a fixed object,1,MANSFIELD,Country,N,Non Intersection,5501,Declared Road,,,1,2016
837,1996047,T20160013003,2016-06-13T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,110600,304624,A,M,50,4,Motorcyclists,1,Collision with vehicle,2,TOWONG,Country,N,Non Intersection,2560,Declared Road,,,1,2016
839,1996049,T20160013231,2016-06-16T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,61300,305381,B,F,59,2,Drivers,1,Collision with vehicle,6,BRIMBANK,Melbourne - West,N,Non Intersection,2900,Declared Road,,,1,2016
840,1996050,T20160005813,2016-03-15T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,161200,341348,A,M,58,4,Motorcyclists,4,Collision with a fixed object,1,CASEY,Melbourne - South East,I,Intersection,9999,Non Declared Road,,,1,2016
841,1996051,T20160013714,2016-06-22T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,175500,45002,A,F,47,2,Drivers,1,Collision with vehicle,3,BRIMBANK,Melbourne - West,I,Intersection,5520,Declared Road,,,1,2016
842,1996052,T20160006324,2016-03-21T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,205800,57655,A,M,26,4,Motorcyclists,4,Collision with a fixed object,1,GEELONG,Country,I,Intersection,2730,Declared Road,,,1,2016
844,1996054,T20160020878,2016-09-25T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,134500,308682,A,M,41,4,Motorcyclists,1,Collision with vehicle,2,MURRINDINDI,Country,N,Non Intersection,5514,Declared Road,,,1,2016
845,1996055,T20160014068,2016-06-27T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,81200,305153,A,M,44,2,Drivers,6,Vehicle overturned (no collision),1,MILDURA,Country,N,Non Intersection,2530,Declared Road,,,1,2016
846,1996056,T20160014087,2016-06-27T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,172300,305152,A,M,25,2,Drivers,4,Collision with a fixed object,1,WHITTLESEA,Melbourne - North East,N,Non Intersection,5515,Declared Road,,,1,2016
847,1996057,T20180008307,2018-05-02T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,232000,329944,A,M,32,4,Motorcyclists,5,Collision with some other object,2,CASEY,Melbourne - South East,N,Non Intersection,2580,Declared Road,,,1,2018
848,1996058,T20160014161,2016-06-27T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,125900,305328,A,M,82,2,Drivers,1,Collision with vehicle,2,WANGARATTA,Country,N,Non Intersection,5492,Declared Road,,,1,2016
849,1996059,T20160014395,2016-07-02T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,0,305916,A,M,36,2,Drivers,6,Vehicle overturned (no collision),1,WODONGA,Country,N,Non Intersection,9999,Non Declared Road,,,1,2016
850,1996060,T20140004945,2014-03-09T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,232400,36797,A,M,38,4,Motorcyclists,1,Collision with vehicle,2,HUME,Melbourne - North West,I,Intersection,5960,Declared Road,,,1,2014
851,1996061,T20160017208,2016-08-05T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,215500,306808,A,F,48,2,Drivers,4,Collision with a fixed object,1,MOORABOOL,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1,2016
854,1996064,T20160020463,2016-09-19T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,151000,308488,B,M,71,2,Drivers,1,Collision with vehicle,2,NORTHERN GRAMPIANS,Country,N,Non Intersection,2520,Declared Road,,,1,2016
855,1996065,T20160020773,2016-09-23T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,162500,308681,A,M,85,2,Drivers,1,Collision with vehicle,3,SHEPPARTON,Country,N,Non Intersection,2640,Declared Road,,,1,2016
856,1996066,T20160021616,2016-10-06T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,94000,309133,A,M,38,2,Drivers,1,Collision with vehicle,4,KINGSTON,Melbourne - Inner South,N,Non Intersection,9999,Non Declared Road,,,1,2016
858,1996068,T20150016535,2015-08-08T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,201000,45255,A,M,55,2,Drivers,1,Collision with vehicle,3,MARIBYRNONG,Melbourne - West,I,Intersection,5864,Declared Road,,,1,2015
860,1996070,T20160021609,2016-10-06T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,83000,49365,A,M,80,2,Drivers,1,Collision with vehicle,2,SHEPPARTON,Country,I,Intersection,5409,Declared Road,,,1,2016
